hgnc	prior_mean	post_mean	post_lower_95	post_upper_95
HGNC:6148	0.6292284831276684	0.6482135971696203	0.38261740609390615	0.961038868831169
HGNC:8810	0.5257641811393737	0.39257593587290185	0.268731314985015	0.5364635291708292
HGNC:6139	0.5319542852521182	0.5900633938404765	0.4405594524475525	0.7572427057942059
HGNC:19357	0.4831459247133554	0.8034158476152083	0.572427557942058	0.976023880819181
HGNC:6138	0.4422876759245607	0.6891560909775427	0.40659342527472536	0.9570428656343658
HGNC:16009	0.8421938248015335	0.9979011778700657	0.9980018984015986	0.9990008992007994
HGNC:29644	0.528962910507076	0.58343915083187	0.3326673661338662	0.8751248000999002
HGNC:26098	0.5912841698057937	0.3113540942873803	0.1948052558441559	0.4495504596403597
HGNC:2364	0.48099595712926113	0.48463531191322845	0.21778227422577426	0.8191807553446554
HGNC:16387	0.49523097278497424	0.05731275957064341	0.003996103196803198	0.16583423266733271
HGNC:24529	0.5149196659835044	0.8801973968991877	0.7082916666333667	0.9870128896103898
HGNC:17948	0.4841135903098424	0.6151068512666736	0.4815184852147853	0.7612387089910091
HGNC:6450	0.41802510932058123	0.042222450934603244	0.0009991007992007995	0.09990017992007995
HGNC:59	0.4906143739722252	0.5759983984938213	0.38661340929070936	0.7942057353646355
HGNC:10616	0.5295153555073183	0.15791574229017183	0.07492515994005995	0.26673331338661344
HGNC:10627	0.5305880172567641	0.23515733777963185	0.043956135164835174	0.5534465427572428
HGNC:557	0.5343881388933927	0.6817525372484119	0.4615384692307693	0.9150848320679322
HGNC:1407	0.4670360517907281	0.26022943094322665	0.07492515994005995	0.5354645283716284
HGNC:31092	0.49057885553285413	0.5098239937389101	0.348651378921079	0.6953046562437564
HGNC:563	0.5173314349105718	0.1450167233361649	0.08791217032967034	0.21378627102897108
HGNC:11517	0.4985543111324651	0.601699476289371	0.2527473021978022	0.9340658472527473
HGNC:13056	0.5088599949284172	0.17019188112779024	0.032967126373626386	0.3946054156843158
HGNC:10647	0.5134438301546312	0.2705728228348012	0.1568432254745255	0.4105894284715286
HGNC:26125	0.49771615436522354	0.09321691415103149	0.004995103996003997	0.2777223221778222
HGNC:1394	0.45340858538114515	0.42825098411508283	0.25374630299700307	0.6403596122877123
HGNC:18152	0.5047846029479962	0.13660182258315387	0.06393615114885116	0.23076928461538465
HGNC:2919	0.5980400229600881	0.19956316978001648	0.08091916473526475	0.36263739010989016
HGNC:6861	0.5234662021164982	0.6213925267441934	0.4105894284715286	0.861138788911089
HGNC:9839	0.5275572915313652	0.6340895292942823	0.3796204036963038	0.9080918264735266
HGNC:21649	0.5079766241628707	0.6478876326904781	0.3956044164835166	0.916083832867133
HGNC:22224	0.8289706566055128	0.38409760663800374	0.23176828541458547	0.5694305555444557
HGNC:3490	0.46642391198928146	0.6640241130247242	0.28171832537462543	0.971028876823177
HGNC:21869	0.5253728563671867	0.8875028577543531	0.7412586930069931	0.9890108912087914
HGNC:410	0.5545899865130817	0.692934596259492	0.5184815147852149	0.8851148080919082
HGNC:26067	0.49794333163697235	0.6809433228344423	0.3796204036963038	0.9520478616383617
HGNC:13411	0.5182425968131689	0.16021873061091857	0.06493515194805197	0.29070933256743264
HGNC:10625	0.5416128847187643	0.7231598117992042	0.4045954236763238	0.9790208832167834
HGNC:16460	0.4875912219923328	0.42739909124770825	0.23276728621378626	0.6693306354645355
HGNC:12597	0.4888258515895446	0.6946096676112743	0.38161840529470537	0.9580418664335666
HGNC:21705	0.49760876923733777	0.3516645350129647	0.15584422467532472	0.6103895883116883
HGNC:17364	0.5117733653852533	0.2167035354260305	0.12187819750249752	0.333666366933067
HGNC:11608	0.5076292679809931	0.4177551739164185	0.24875129900099904	0.6213785971028972
HGNC:5456	0.5141018311465908	0.6528984996675298	0.4905094924075925	0.8321677657342659
HGNC:30054	0.581510616959855	0.12844813428613883	0.05594414475524477	0.22477527982017986
HGNC:2260	0.5175775150499723	0.7812526985058305	0.5984015787212787	0.9530468624375625
HGNC:4661	0.4834513039313841	0.9355435951973278	0.8301697641358643	0.9940058952047953
HGNC:25459	0.4832178527180353	0.7438473658667962	0.6113885891108892	0.8851148080919082
HGNC:12713	0.5156458741310075	0.28794916776664636	0.11488519190809193	0.5244755195804196
HGNC:29096	0.5346768569614201	0.7747275699908165	0.5544455435564436	0.966033872827173
HGNC:14198	0.5623483880791837	0.5512899116014298	0.2827173261738262	0.8741257993006994
HGNC:21695	0.4984811358666293	0.770581734131632	0.4995004996003997	0.981018884815185
HGNC:7571	0.5955425091767723	0.14514834158837003	0.05794214635364637	0.26473531178821186
HGNC:24041	0.5114661462884939	0.7911331746447801	0.6133865907092908	0.956043864835165
HGNC:15483	0.4630167813050534	0.3578743884798057	0.10089918071928074	0.7282716826173827
HGNC:23061	0.4923834772127937	0.8514419678974737	0.647352617882118	0.9840158872127873
HGNC:9485	0.49994298216447886	0.03842432793519602	0.0029971023976023982	0.11388619110889113
HGNC:13538	0.5811002072162793	0.5882952602867233	0.43256744605394615	0.7642357113886115
